scenario,n,op,avg_comp,max_comp,avg_reads,max_reads,avg_writes,max_writes,avg_height,max_height
increasing_insert,10000,insert,1,2,10019,20019,5,6,5000,10000
increasing_insert,10000,remove,24,2717,10313,68854,88,14926,36,7460
random_insert,10000,insert,17,36,10322,20461,95,209,29,42
random_insert,10000,remove,23,53,10284,20463,79,185,28,41
increasing_insert,20000,insert,1,2,20019,40019,5,6,10000,20000
increasing_insert,20000,remove,26,11501,20345,246970,98,63238,39,8501
random_insert,20000,insert,18,39,20350,40571,104,224,32,47
random_insert,20000,remove,25,58,20313,40530,88,204,32,48
increasing_insert,30000,insert,1,2,30019,60019,5,6,15000,30000
increasing_insert,30000,remove,28,17939,30361,382854,102,98647,43,12064
random_insert,30000,insert,19,41,30367,60576,109,235,34,51
random_insert,30000,remove,26,61,30331,60491,93,224,34,51
increasing_insert,40000,insert,1,2,40019,80019,5,6,20000,40000
increasing_insert,40000,remove,29,24122,40374,514150,106,132655,43,38011
random_insert,40000,insert,20,42,40379,80581,112,245,35,51
random_insert,40000,remove,27,63,40343,80714,96,239,34,51
increasing_insert,50000,insert,1,2,50019,100019,5,6,25000,50000
increasing_insert,50000,remove,29,47361,50384,952450,109,260468,48,23681
random_insert,50000,insert,20,44,50389,100614,115,255,36,53
random_insert,50000,remove,28,64,50353,100622,99,233,36,54
increasing_insert,60000,insert,1,2,60019,120019,5,6,30000,60000
increasing_insert,60000,remove,30,42205,60393,879642,112,232110,45,21103
random_insert,60000,insert,20,46,60396,120653,117,268,37,60
random_insert,60000,remove,28,68,60360,120658,101,238,36,53
increasing_insert,70000,insert,1,2,70019,140019,5,6,35000,70000
increasing_insert,70000,remove,30,56667,70399,1159958,114,311651,46,28334
random_insert,70000,insert,21,44,70403,140596,119,256,38,54
random_insert,70000,remove,29,69,70367,140672,103,243,37,55
increasing_insert,80000,insert,1,2,80019,160019,5,6,40000,80000
increasing_insert,80000,remove,31,48698,80405,1036522,115,267823,49,31305
random_insert,80000,insert,21,45,80409,160607,121,261,38,59
random_insert,80000,remove,29,72,80373,160601,105,264,38,58
increasing_insert,90000,insert,1,2,90019,180019,5,6,45000,90000
increasing_insert,90000,remove,31,64883,90410,1347846,117,356839,49,32442
random_insert,90000,insert,21,46,90414,180641,123,267,39,55
random_insert,90000,remove,30,73,90378,180699,107,256,38,56
increasing_insert,100000,insert,1,2,100019,200019,5,6,50000,100000
increasing_insert,100000,remove,32,68327,100415,1429838,118,375781,47,34164
random_insert,100000,insert,22,47,100418,200715,124,273,39,57
random_insert,100000,remove,30,74,100382,200661,108,261,39,58
