n,avg_time_kruskal,avg_time_prim
1000,0.258674,0.052575
1250,0.420509,0.100171
1500,0.606760,0.133254
1750,0.847372,0.176953
2000,1.121574,0.215446
2250,1.441043,0.320364
2500,1.977883,0.394357
2750,2.971661,0.710594
3000,3.542867,0.831456
3250,4.214704,0.962967
3500,4.972135,1.103494
3750,4.396548,1.070726
4000,4.718114,0.826950
4250,5.345214,1.159607
4500,6.039405,1.279181
4750,6.774458,1.407338
5000,7.554825,1.534812
5250,8.445988,1.669146
5500,9.226269,1.829433
5750,10.074026,1.963801
6000,12.489018,2.125286
6250,13.459818,3.782307
6500,12.999600,2.456811
6750,14.077118,2.607732
7000,15.181621,2.838226
7250,16.286839,2.968380
7500,17.479569,3.181125
7750,18.867024,3.371978
8000,20.080946,3.632006
8250,21.254812,4.658615
8500,22.878947,5.006076
8750,24.193296,5.476558
9000,25.636052,5.757606
9250,27.396332,6.129623
9500,28.692866,6.467463
9750,30.546263,6.851325
10000,32.081243,7.222722
