n,avg_rounds,min_rounds,max_rounds
1000,54.200,39,83
1250,55.480,40,83
1500,59.580,37,78
1750,62.720,39,91
2000,67.040,42,125
2250,72.660,42,109
2500,69.840,50,115
2750,76.080,52,105
3000,77.040,53,106
3250,82.300,51,135
3500,83.040,59,109
3750,85.840,60,136
4000,91.280,55,149
4250,90.200,52,141
4500,91.340,54,163
4750,90.060,62,136
5000,101.020,69,151
5250,100.980,78,143
5500,97.400,67,159
5750,98.640,60,140
6000,101.500,70,152
6250,108.200,57,170
6500,105.240,67,150
6750,108.760,77,175
7000,101.780,63,145
7250,106.500,72,168
7500,114.460,74,173
7750,115.400,65,187
8000,116.760,71,178
8250,112.900,76,183
8500,114.540,75,185
8750,115.240,67,172
9000,118.880,74,181
9250,115.840,76,183
9500,119.300,78,190
9750,122.500,74,205
10000,124.000,76,195
