n,avg_comparisons
100,15.730
200,18.725
300,20.333
400,21.547
500,22.666
600,23.303
700,24.066
800,24.651
900,25.197
1000,25.600
1100,25.979
1200,26.203
1300,26.708
1400,26.999
1500,27.325
1600,27.553
1700,27.853
1800,28.134
1900,28.347
2000,28.544
2100,28.809
2200,28.944
2300,29.148
2400,29.339
2500,29.465
2600,29.662
2700,29.760
2800,29.964
2900,30.130
3000,30.300
3100,30.473
3200,30.540
3300,30.671
3400,30.754
3500,30.883
3600,31.158
3700,31.180
3800,31.301
3900,31.483
4000,31.602
4100,31.743
4200,31.805
4300,31.841
4400,31.887
4500,32.065
4600,32.119
4700,32.197
4800,32.329
4900,32.383
5000,32.450
5100,32.652
5200,32.667
5300,32.738
5400,32.809
5500,32.897
5600,32.995
5700,33.047
5800,33.129
5900,33.255
6000,33.295
6100,33.361
6200,33.496
6300,33.509
6400,33.607
6500,33.649
6600,33.671
6700,33.756
6800,33.803
6900,33.871
7000,33.919
7100,33.998
7200,34.126
7300,34.161
7400,34.186
7500,34.245
7600,34.329
7700,34.421
7800,34.480
7900,34.526
8000,34.637
8100,34.688
8200,34.783
8300,34.806
8400,34.841
8500,34.860
8600,34.898
8700,34.930
8800,34.994
8900,35.030
9000,35.058
9100,35.101
9200,35.157
9300,35.206
9400,35.245
9500,35.246
9600,35.313
9700,35.401
9800,35.468
9900,35.454
10000,35.520
